en,de
Change language, Sprache wechseln
Theme,Thema
Sociodemographic,Soziodemographie
Identity,Identitaet
Political Interest,Politisches Interesse
Political Participation, Politische Partizipation
None,Keine Auswahl
Migration,Migration
Age,Alter
Gender,Geschlecht
Status,Status
Being Born in Lux.,In Luxemburg geboren sein
Having Lux. Ancestors, Luxemburgische Vorfahren haben
Speaking Lux. Well, Gut luxemburgisch sprechen
Lived for a long time in Lux., Seit einer langen Zeit in Luxemburg leben
Identifying with Lux., Sich mit Luxemburg identifizieren
Very Interested, sehr interessiert
Moderately Interested, etwas interessiert
Not interested, nicht interessiert
Extremely, Sehr stark
Very, stark
Medium, mittelmäßig
Not Very, weniger stark
Not at all, ueberhaupt nicht
Female, Weiblich
Male, Maennlich
Students, Studierend
Employed, Berufstaetig
NEET, NEET
No migration background,Kein Migrationshintergrund
Parents immigrated, Eltern eingewandert
Self-immigrated, Selbst immigriert

